Day,Year,Hour,Minute,Second,Name,Shares,Ask_Price,Bid_Price
125,2020,9,30,1,MDGS,10,3.22,3.15
125,2020,9,30,1,TUES,10,0.5,0.4986
125,2020,9,31,6,MDGS,10,3.22,3.15
125,2020,9,31,6,TUES,10,0.5,0.499
125,2020,9,32,2,MDGS,10,3.22,3.15
125,2020,9,32,2,TUES,10,0.5,0.4995
125,2020,9,33,3,MDGS,10,3.21,3.15
125,2020,9,33,10,TUES,10,0.502,0.5
125,2020,9,34,2,MDGS,10,3.2,3.15
125,2020,9,34,2,TUES,10,0.502,0.5013
125,2020,9,35,7,MDGS,10,3.14,3.12
125,2020,9,35,8,TUES,10,0.5019,0.501
125,2020,9,36,9,MDGS,10,3.12,3.1
125,2020,9,36,9,TUES,10,0.5019,0.501
125,2020,9,37,4,MDGS,10,3.14,3.12
125,2020,9,37,5,TUES,10,0.5014,0.499
125,2020,9,38,5,MDGS,10,3.14,3.12
125,2020,9,38,5,TUES,10,0.4901,0.49
125,2020,9,39,3,MDGS,10,3.14,3.12
125,2020,9,39,3,TUES,10,0.4901,0.49
125,2020,9,40,6,MDGS,10,3.14,3.12
125,2020,9,40,6,TUES,10,0.5009,0.4901
125,2020,9,41,4,MDGS,10,3.22,3.14
125,2020,9,41,4,TUES,10,0.5009,0.4901
125,2020,9,42,4,MDGS,10,3.16,3.14
125,2020,9,42,4,TUES,10,0.5,0.4901
125,2020,9,43,14,MDGS,10,3.23,3.15
125,2020,9,43,14,TUES,10,0.4993,0.498
125,2020,9,44,6,MDGS,10,3.23,3.15
125,2020,9,44,6,TUES,10,0.4999,0.4995
125,2020,9,45,8,MDGS,10,3.18,3.15
125,2020,9,45,9,TUES,10,0.4987,0.498
125,2020,9,46,5,MDGS,10,3.18,3.15
125,2020,9,46,7,TUES,10,0.4984,0.4901
125,2020,9,47,5,MDGS,10,3.18,3.15
125,2020,9,47,5,TUES,10,0.4984,0.4944
125,2020,9,48,6,MDGS,10,3.18,3.15
125,2020,9,48,7,TUES,10,0.4944,0.4901
125,2020,9,49,5,MDGS,10,3.18,3.13
125,2020,9,49,6,TUES,10,0.4944,0.4901
125,2020,9,50,5,MDGS,10,3.18,3.16
125,2020,9,50,5,TUES,10,0.4944,0.49
125,2020,9,51,11,MDGS,10,3.17,3.16
125,2020,9,51,11,TUES,10,0.502,0.4951
125,2020,9,52,14,MDGS,10,3.17,3.13
125,2020,9,52,14,TUES,10,0.501,0.5
125,2020,9,53,12,MDGS,10,3.15,3.13
125,2020,9,53,12,TUES,10,0.501,0.5
125,2020,9,54,12,MDGS,10,3.15,3.13
125,2020,9,54,13,TUES,10,0.501,0.4951
125,2020,9,55,12,MDGS,10,3.14,3.13
125,2020,9,55,12,TUES,10,0.501,0.4955
125,2020,9,56,15,MDGS,10,3.14,3.13
125,2020,9,56,15,TUES,10,0.501,0.4955
125,2020,9,57,13,MDGS,10,3.18,3.13
125,2020,9,57,13,TUES,10,0.501,0.4955
125,2020,9,58,16,MDGS,10,3.18,3.15
125,2020,9,58,16,TUES,10,0.5,0.4957
125,2020,9,59,15,MDGS,10,3.18,3.15
125,2020,9,59,16,TUES,10,0.501,0.4957
125,2020,10,0,15,MDGS,10,3.18,3.15
125,2020,10,0,15,TUES,10,0.501,0.4957
125,2020,10,1,20,MDGS,10,3.15,3.13
125,2020,10,1,20,TUES,10,0.501,0.4976
125,2020,10,2,17,MDGS,10,3.15,3.13
125,2020,10,2,17,TUES,10,0.5009,0.4976
125,2020,10,3,18,MDGS,10,3.14,3.13
125,2020,10,3,19,TUES,10,0.501,0.49
125,2020,10,4,21,MDGS,10,3.14,3.13
125,2020,10,4,21,TUES,10,0.501,0.49
125,2020,10,5,21,MDGS,10,3.16,3.13
125,2020,10,5,22,TUES,10,0.4999,0.495
125,2020,10,6,23,MDGS,10,3.19,3.17
125,2020,10,6,23,TUES,10,0.4999,0.495
125,2020,10,7,20,MDGS,10,3.19,3.13
125,2020,10,7,20,TUES,10,0.4999,0.495
125,2020,10,8,22,MDGS,10,3.19,3.13
125,2020,10,8,22,TUES,10,0.4999,0.495
125,2020,10,9,18,MDGS,10,3.19,3.16
125,2020,10,9,18,TUES,10,0.4999,0.495
125,2020,10,10,22,MDGS,10,3.19,3.16
125,2020,10,10,22,TUES,10,0.4999,0.495
125,2020,10,11,24,MDGS,10,3.19,3.16
125,2020,10,11,25,TUES,10,0.4989,0.495
125,2020,10,12,24,MDGS,10,3.19,3.16
125,2020,10,12,25,TUES,10,0.4979,0.495
125,2020,10,13,22,MDGS,10,3.2,3.18
125,2020,10,13,23,TUES,10,0.4951,0.494
125,2020,10,14,18,MDGS,10,3.23,3.2
125,2020,10,14,19,TUES,10,0.495,0.494
125,2020,10,15,21,MDGS,10,3.23,3.2
125,2020,10,15,22,TUES,10,0.495,0.494
125,2020,10,16,27,MDGS,10,3.28,3.25
125,2020,10,16,31,TUES,10,0.494,0.49
125,2020,10,17,24,MDGS,10,3.28,3.25
125,2020,10,17,25,TUES,10,0.493,0.49
125,2020,10,18,20,MDGS,10,3.23,3.2
125,2020,10,18,20,TUES,10,0.493,0.4916
125,2020,10,19,22,MDGS,10,3.24,3.2
125,2020,10,19,23,TUES,10,0.4902,0.49
125,2020,10,20,20,MDGS,10,3.28,3.2
125,2020,10,20,20,TUES,10,0.4902,0.49
125,2020,10,21,24,MDGS,10,3.28,3.25
125,2020,10,21,24,TUES,10,0.4902,0.49
125,2020,10,22,25,MDGS,10,3.24,3.2
125,2020,10,22,26,TUES,10,0.4979,0.49
125,2020,10,23,22,MDGS,10,3.24,3.22
125,2020,10,23,22,TUES,10,0.496,0.494
125,2020,10,24,21,MDGS,10,3.24,3.22
125,2020,10,24,22,TUES,10,0.496,0.495
125,2020,10,25,22,MDGS,10,3.24,3.22
125,2020,10,25,22,TUES,10,0.4949,0.4921
125,2020,10,26,22,MDGS,10,3.24,3.22
125,2020,10,26,22,TUES,10,0.4949,0.4921
125,2020,10,27,27,MDGS,10,3.24,3.22
125,2020,10,27,28,TUES,10,0.4949,0.4921
125,2020,10,28,23,MDGS,10,3.24,3.22
125,2020,10,28,23,TUES,10,0.4949,0.4921
125,2020,10,29,22,MDGS,10,3.24,3.22
125,2020,10,29,22,TUES,10,0.4949,0.4921
125,2020,10,30,25,MDGS,10,3.24,3.18
125,2020,10,30,25,TUES,10,0.4949,0.4938
